,Education,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Total_amount_spent,Total_accept_campaign,Year,children,Status_Divorced,Status_Married,Status_Single,Status_Together
2057,1,42192.0,40,1,2,1,3,4,0,0,72,60,0,2013,0,0,1,0,0
583,2,61794.0,74,2,4,4,10,2,0,0,59,347,0,2013,1,0,1,0,0
772,1,72258.0,28,2,6,9,5,2,0,0,49,1003,0,2013,1,0,0,1,0
2085,2,49912.0,5,4,10,5,7,8,0,1,71,354,1,2012,1,0,0,0,1
889,1,64090.0,8,1,6,9,4,5,0,1,64,481,0,2013,1,0,0,0,1
939,2,57937.0,56,3,4,4,9,3,0,0,38,422,0,2014,1,0,1,0,0
1645,3,25358.0,57,2,1,0,3,6,0,0,73,13,0,2013,1,1,0,0,0
1832,2,84953.0,73,1,3,10,4,2,0,1,67,857,3,2013,0,1,0,0,0
1890,3,59292.0,71,2,3,5,8,3,0,0,70,129,0,2013,1,0,0,0,1
1113,1,70566.0,4,2,6,5,9,3,0,0,52,376,0,2013,1,0,0,1,0
318,1,34421.0,81,1,1,0,2,7,0,0,46,27,0,2013,1,0,1,0,0
1762,3,51012.0,86,1,4,1,4,6,0,0,74,107,0,2013,0,0,1,0,0
1370,2,57420.0,22,3,5,1,6,7,0,0,49,42,1,2013,1,0,0,0,1
812,2,25804.0,34,2,2,0,3,8,0,0,42,47,0,2013,1,0,1,0,0
1725,2,75342.0,38,1,5,2,10,4,0,0,62,359,0,2013,1,0,0,1,0
1654,1,43602.0,45,3,3,1,2,6,0,0,54,49,0,2014,2,0,0,1,0
343,1,84835.0,0,1,4,4,6,1,0,1,50,1001,0,2014,0,1,0,0,0
398,1,42373.0,83,5,2,1,5,5,0,0,46,96,0,2013,2,0,0,1,0
584,1,53863.0,4,3,7,1,7,7,0,0,65,74,1,2014,1,0,0,0,1
1744,3,51569.0,39,4,7,1,7,8,0,1,71,87,1,2013,1,1,0,0,0
1161,1,77142.0,54,1,4,4,8,2,0,0,72,514,0,2013,0,0,1,0,0
292,2,55951.0,62,3,3,6,11,8,0,0,68,133,2,2012,1,0,0,0,1
1242,1,65106.0,55,3,8,3,13,6,0,0,45,183,1,2014,1,0,1,0,0
1128,2,49669.0,97,2,5,1,6,6,0,0,46,160,0,2014,1,0,0,0,1
